object_id,name,epoch,x,y,z,vx,vy,vz,mass_kg,cross_section_m2,cd,cr,cov_xx,cov_yy,cov_zz
SAT-25544,ISS (ZARYA),2026-08-24T07:09:58Z,2210.64,-5309.99,-3632.03,6.26,-0.39,4.39,420000,400.0,2.2,1.3,0.05,0.05,0.08
SAT-36086,POISK,2026-08-24T07:09:58Z,2210.64,-5309.99,-3632.03,6.26,-0.39,4.39,3500,8.0,2.2,1.3,0.003,0.003,0.005
SAT-48274,CSS (TIANHE),2026-08-24T07:09:58Z,-2766.41,5611.68,-2584.45,-4.84,-4.29,-4.14,22500,50.0,2.2,1.3,0.01,0.01,0.015
SAT-49044,ISS (NAUKA),2026-08-24T07:09:58Z,2210.64,-5309.99,-3632.03,6.26,-0.39,4.39,2030,12.0,2.2,1.3,0.003,0.003,0.005
SAT-49271,FREGAT DEB,2026-08-24T07:09:58Z,5621.75,2653.31,-5919.76,-4.38,4.08,-2.52,1200,6.0,2.2,1.2,0.002,0.002,0.003
SAT-53239,CSS (WENTIAN),2026-08-24T07:09:58Z,-2766.41,5611.68,-2584.45,-4.84,-4.29,-4.14,23000,45.0,2.2,1.3,0.01,0.01,0.015
SAT-54216,CSS (MENGTIAN),2026-08-24T07:09:58Z,-2766.41,5611.68,-2584.45,-4.84,-4.29,-4.14,23000,45.0,2.2,1.3,0.01,0.01,0.015
SAT-66052,HRC MONOBLOCK CAMERA,2026-08-24T07:09:58Z,-1873.05,6426.6,-40.18,-4.61,-1.37,-6.04,540,2.5,2.2,1.3,0.001,0.001,0.002
SAT-66515,SZ-21 MODULE,2026-08-24T07:09:58Z,-4353.48,2533.98,-4427.71,-3.83,-6.69,-0.07,8500,15.0,2.2,1.3,0.005,0.005,0.008
SAT-66906,DUPLEX,2026-08-24T07:09:58Z,-1649.01,-4424.23,-4822.9,5.53,-4.73,2.45,1800,4.0,2.2,1.3,0.002,0.002,0.003
SAT-24944,IRIDIUM 33,2026-08-24T07:09:58Z,-1245.32,6387.41,-1203.87,-4.52,-1.68,-5.98,560,8.4,2.2,1.3,0.002,0.002,0.003
SAT-22674,COSMOS 2251,2026-08-24T07:09:58Z,3187.56,-4912.83,-3856.12,5.82,1.92,-4.15,950,4.0,2.2,1.2,0.003,0.003,0.004
DEB-25544,ISS (ZARYA),2026-08-24T07:09:58Z,2210.64,-5309.99,-3632.03,6.26,-0.39,4.39,50,1.5,2.2,1.3,0.010,0.010,0.015
DEB-36086,POISK,2026-08-24T07:09:58Z,2210.64,-5309.99,-3632.03,6.26,-0.39,4.39,15,0.5,2.2,1.3,0.008,0.008,0.012
DEB-48274,CSS (TIANHE),2026-08-24T07:09:58Z,-2766.41,5611.68,-2584.45,-4.84,-4.29,-4.14,30,0.8,2.2,1.3,0.009,0.009,0.013
DEB-49044,ISS (NAUKA),2026-08-24T07:09:58Z,2210.64,-5309.99,-3632.03,6.26,-0.39,4.39,20,0.6,2.2,1.3,0.008,0.008,0.012
DEB-49271,FREGAT DEB,2026-08-24T07:09:58Z,5621.75,2653.31,-5919.76,-4.38,4.08,-2.52,25,0.7,2.2,1.2,0.007,0.007,0.010
DEB-53239,CSS (WENTIAN),2026-08-24T07:09:58Z,-2766.41,5611.68,-2584.45,-4.84,-4.29,-4.14,18,0.5,2.2,1.3,0.009,0.009,0.013
DEB-54216,CSS (MENGTIAN),2026-08-24T07:09:58Z,-2766.41,5611.68,-2584.45,-4.84,-4.29,-4.14,22,0.6,2.2,1.3,0.009,0.009,0.013
DEB-66052,HRC MONOBLOCK CAMERA,2026-08-24T07:09:58Z,-1873.05,6426.6,-40.18,-4.61,-1.37,-6.04,8,0.2,2.2,1.3,0.006,0.006,0.009
DEB-66515,SZ-21 MODULE,2026-08-24T07:09:58Z,-4353.48,2533.98,-4427.71,-3.83,-6.69,-0.07,12,0.3,2.2,1.3,0.007,0.007,0.010
DEB-66906,DUPLEX,2026-08-24T07:09:58Z,-1649.01,-4424.23,-4822.9,5.53,-4.73,2.45,10,0.3,2.2,1.3,0.006,0.006,0.009
DEB-24946,IRIDIUM 33 DEB,2026-08-24T07:09:58Z,-1250.18,6392.55,-1198.73,-4.50,-1.71,-5.96,2.5,0.08,2.2,1.3,0.005,0.005,0.008
DEB-24947,IRIDIUM 33 DEB,2026-08-24T07:09:58Z,-1238.45,6378.29,-1211.05,-4.54,-1.65,-6.00,0.8,0.02,2.2,1.3,0.008,0.008,0.012
DEB-24948,IRIDIUM 33 DEB,2026-08-24T07:09:58Z,-1255.72,6397.14,-1192.41,-4.48,-1.74,-5.94,5.2,0.15,2.2,1.3,0.006,0.006,0.009
DEB-22675,COSMOS 2251 DEB,2026-08-24T07:09:58Z,3192.83,-4908.47,-3861.56,5.80,1.95,-4.13,1.5,0.04,2.2,1.2,0.007,0.007,0.010
DEB-22676,COSMOS 2251 DEB,2026-08-24T07:09:58Z,3181.29,-4917.19,-3850.68,5.84,1.89,-4.17,3.8,0.10,2.2,1.2,0.009,0.009,0.013
DEB-22677,COSMOS 2251 DEB,2026-08-24T07:09:58Z,3196.41,-4903.21,-3866.94,5.78,1.98,-4.11,0.3,0.01,2.2,1.2,0.010,0.010,0.015
DEB-36784,COSMOS 2251 DEB,2026-08-24T07:09:58Z,3210.57,-4892.36,-3878.23,5.74,2.04,-4.08,12.0,0.30,2.2,1.2,0.012,0.012,0.018
DEB-36785,IRIDIUM 33 DEB,2026-08-24T07:09:58Z,-1261.38,6402.87,-1186.04,-4.46,-1.77,-5.92,7.5,0.20,2.2,1.3,0.011,0.011,0.016
